code,indicateur,annee,valeur
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1960,53.0106495032636
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1961,52.9488487141246
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1962,52.9360524617954
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1963,52.925505032968
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1964,52.9149502791779
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1965,52.9274988648726
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1966,52.9628567370927
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1967,53.0084821505092
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1968,53.0569477164765
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1969,53.0979831825962
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1970,53.1236009898513
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1971,53.1286995878192
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1972,53.1068268605072
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1973,53.0530652859193
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1974,52.9483618146524
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1975,52.7614048862751
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1976,52.4838216590986
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1977,52.1069209965753
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1978,51.6787289875454
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1979,51.2729018571183
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1980,50.9071379377238
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1981,50.5885660388779
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1982,50.3219201810763
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1983,50.1048936011425
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1984,49.9383516555121
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1985,49.8439203526588
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1986,49.8406994163583
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1987,49.9079330379217
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1988,50.0274842934156
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1989,50.190860515503
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1990,50.3838470528486
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1991,50.6119914365766
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1992,50.8746699933096
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1993,51.1554064817337
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1994,51.4371391353371
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1995,51.7065695791673
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1996,51.9605241593318
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1997,52.1958540398848
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1998,52.417348840655
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),1999,52.6264306635151
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2000,52.8249714594122
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2001,53.0174654864387
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2002,53.2451801577915
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2003,53.4347071627217
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2004,53.5395472791747
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2005,53.6341463892216
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2006,53.713480354444
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2007,53.7671819008511
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2008,53.7929417802816
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2009,53.7877179685264
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2010,53.7588147597081
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2011,53.7310989404075
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2012,53.7078017649908
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2013,53.7401403808036
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2014,53.8844213348809
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2015,54.1120274086851
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2016,54.3968395932547
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2017,54.7454841926833
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2018,55.161731926394
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2019,55.629971072753
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2020,56.1414662545808
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2021,56.694618125052
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2022,57.2763044893002
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2023,57.780014004645
SP.POP.1564.TO.ZS,Part des 15-64 ans (%),2024,58.1999109338785
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1960,2.8243976860176
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1961,2.79557673420392
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1962,2.77215532410017
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1963,2.75333884415491
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1964,2.73766951282778
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1965,2.72396817694896
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1966,2.7122071266572
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1967,2.70265703854432
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1968,2.69479838506032
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1969,2.68819405701096
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1970,2.68325598604222
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1971,2.67997924319363
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1972,2.67792903727948
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1973,2.67755715474587
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1974,2.67882866412284
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1975,2.68204594637977
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1976,2.68809066708913
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1977,2.69736516759018
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1978,2.70967825360067
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1979,2.72439723372053
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1980,2.74067603912524
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1981,2.75772175848887
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1982,2.77566318838141
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1983,2.79523105685442
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1984,2.81679121347806
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1985,2.84044384450674
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1986,2.86671991709449
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1987,2.8952498333517
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1988,2.92586662291495
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1989,2.95831633000238
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1990,2.99085955705332
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1991,3.02313899448388
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1992,3.05564924321118
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1993,3.08723349456531
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1994,3.11720858739914
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1995,3.14526246931404
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1996,3.17036016487898
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1997,3.19176129248737
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1998,3.20906598286511
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),1999,3.2215459906173
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2000,3.22899884232554
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2001,3.2343912263479
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2002,3.27733600707954
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2003,3.34031453265948
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2004,3.38412445415235
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2005,3.42167645471414
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2006,3.45478030637053
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2007,3.48597727840313
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2008,3.51531198670358
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2009,3.54278364733413
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2010,3.56815022857386
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2011,3.58403202001035
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2012,3.59169225455899
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2013,3.57918390028218
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2014,3.54860725101498
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2015,3.52362334286885
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2016,3.5068960130787
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2017,3.498380920997
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2018,3.49937511383095
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2019,3.51051951175819
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2020,3.52746594325007
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2021,3.54310568518721
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2022,3.56339204411192
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2023,3.5903878360666
SP.POP.65UP.TO.ZS,Part des 65 ans et + (%),2024,3.61772273671508
SP.POP.GROW,Croissance démographique (%),1961,2.81748096900715
SP.POP.GROW,Croissance démographique (%),1962,2.82073326778007
SP.POP.GROW,Croissance démographique (%),1963,2.82256029455455
SP.POP.GROW,Croissance démographique (%),1964,2.8378577001018
SP.POP.GROW,Croissance démographique (%),1965,2.87894325241237
SP.POP.GROW,Croissance démographique (%),1966,2.93109606343671
SP.POP.GROW,Croissance démographique (%),1967,2.9716025775211
SP.POP.GROW,Croissance démographique (%),1968,2.98442559728274
SP.POP.GROW,Croissance démographique (%),1969,2.98262882904199
SP.POP.GROW,Croissance démographique (%),1970,2.98509819973603
SP.POP.GROW,Croissance démographique (%),1971,2.98948442892748
SP.POP.GROW,Croissance démographique (%),1972,2.99197305396704
SP.POP.GROW,Croissance démographique (%),1973,2.98251676613151
SP.POP.GROW,Croissance démographique (%),1974,2.91017124088259
SP.POP.GROW,Croissance démographique (%),1975,2.77212999447369
SP.POP.GROW,Croissance démographique (%),1976,2.6292016172694
SP.POP.GROW,Croissance démographique (%),1977,2.43747874841247
SP.POP.GROW,Croissance démographique (%),1978,2.3357011243472
SP.POP.GROW,Croissance démographique (%),1979,2.39207763796717
SP.POP.GROW,Croissance démographique (%),1980,2.47218014471202
SP.POP.GROW,Croissance démographique (%),1981,2.55902817475478
SP.POP.GROW,Croissance démographique (%),1982,2.62972878181791
SP.POP.GROW,Croissance démographique (%),1983,2.68483009110068
SP.POP.GROW,Croissance démographique (%),1984,2.72727133941746
SP.POP.GROW,Croissance démographique (%),1985,2.79056064316103
