annee,code,valeur,source
1965,SH.DYN.MORT,297.4,Banque mondiale
1966,SH.DYN.MORT,296.9,Banque mondiale
1967,SH.DYN.MORT,295.9,Banque mondiale
1968,SH.DYN.MORT,294.3,Banque mondiale
1969,SH.DYN.MORT,291.9,Banque mondiale
1970,SH.DYN.MORT,288.3,Banque mondiale
1971,SH.DYN.MORT,283.5,Banque mondiale
1972,SH.DYN.MORT,277.3,Banque mondiale
1973,SH.DYN.MORT,270.1,Banque mondiale
1974,SH.DYN.MORT,261.9,Banque mondiale
1975,SH.DYN.MORT,252.7,Banque mondiale
1976,SH.DYN.MORT,242.2,Banque mondiale
1977,SH.DYN.MORT,231.3,Banque mondiale
1978,SH.DYN.MORT,221.1,Banque mondiale
1979,SH.DYN.MORT,212.0,Banque mondiale
1980,SH.DYN.MORT,204.2,Banque mondiale
1981,SH.DYN.MORT,197.6,Banque mondiale
1982,SH.DYN.MORT,191.7,Banque mondiale
1983,SH.DYN.MORT,185.7,Banque mondiale
1984,SH.DYN.MORT,178.9,Banque mondiale
1985,SH.DYN.MORT,171.1,Banque mondiale
1986,SH.DYN.MORT,162.6,Banque mondiale
1987,SH.DYN.MORT,154.3,Banque mondiale
1988,SH.DYN.MORT,146.9,Banque mondiale
1989,SH.DYN.MORT,141.2,Banque mondiale
1990,SH.DYN.MORT,137.2,Banque mondiale
1991,SH.DYN.MORT,135.2,Banque mondiale
1992,SH.DYN.MORT,134.6,Banque mondiale
1993,SH.DYN.MORT,135.0,Banque mondiale
1994,SH.DYN.MORT,136.0,Banque mondiale
1995,SH.DYN.MORT,137.0,Banque mondiale
1996,SH.DYN.MORT,137.8,Banque mondiale
1997,SH.DYN.MORT,137.9,Banque mondiale
1998,SH.DYN.MORT,136.7,Banque mondiale
1999,SH.DYN.MORT,133.8,Banque mondiale
2000,SH.DYN.MORT,128.9,Banque mondiale
2001,SH.DYN.MORT,121.7,Banque mondiale
2002,SH.DYN.MORT,113.2,Banque mondiale
2003,SH.DYN.MORT,104.2,Banque mondiale
2004,SH.DYN.MORT,95.5,Banque mondiale
2005,SH.DYN.MORT,87.6,Banque mondiale
2006,SH.DYN.MORT,80.8,Banque mondiale
2007,SH.DYN.MORT,75.0,Banque mondiale
2008,SH.DYN.MORT,70.1,Banque mondiale
2009,SH.DYN.MORT,66.1,Banque mondiale
2010,SH.DYN.MORT,62.8,Banque mondiale
2011,SH.DYN.MORT,60.0,Banque mondiale
2012,SH.DYN.MORT,57.6,Banque mondiale
2013,SH.DYN.MORT,55.5,Banque mondiale
2014,SH.DYN.MORT,53.7,Banque mondiale
2015,SH.DYN.MORT,52.2,Banque mondiale
2016,SH.DYN.MORT,50.8,Banque mondiale
2017,SH.DYN.MORT,49.4,Banque mondiale
2018,SH.DYN.MORT,47.9,Banque mondiale
2019,SH.DYN.MORT,46.2,Banque mondiale
2020,SH.DYN.MORT,44.2,Banque mondiale
2021,SH.DYN.MORT,42.2,Banque mondiale
2022,SH.DYN.MORT,40.1,Banque mondiale
2023,SH.DYN.MORT,38.2,Banque mondiale
2024,SH.DYN.MORT,36.5,Banque mondiale
1991,SI.POV.DDAY,77.3,Banque mondiale
1994,SI.POV.DDAY,72.2,Banque mondiale
2001,SI.POV.DDAY,63.9,Banque mondiale
2005,SI.POV.DDAY,53.6,Banque mondiale
2011,SI.POV.DDAY,53.3,Banque mondiale
2018,SI.POV.DDAY,19.1,Banque mondiale
2021,SI.POV.DDAY,17.9,Banque mondiale
1991,SI.POV.GINI,54.0,Banque mondiale
1994,SI.POV.GINI,39.2,Banque mondiale
2001,SI.POV.GINI,41.2,Banque mondiale
2005,SI.POV.GINI,39.2,Banque mondiale
2011,SI.POV.GINI,40.3,Banque mondiale
2018,SI.POV.GINI,38.3,Banque mondiale
2021,SI.POV.GINI,36.2,Banque mondiale
2018,SI.POV.NAHC,37.8,Banque mondiale
2021,SI.POV.NAHC,37.5,Banque mondiale
1960,SP.DYN.LE00.IN,39.668,Banque mondiale
1961,SP.DYN.LE00.IN,39.715,Banque mondiale
1962,SP.DYN.LE00.IN,39.738,Banque mondiale
1963,SP.DYN.LE00.IN,39.745,Banque mondiale
1964,SP.DYN.LE00.IN,39.755,Banque mondiale
1965,SP.DYN.LE00.IN,39.761,Banque mondiale
1966,SP.DYN.LE00.IN,39.848,Banque mondiale
1967,SP.DYN.LE00.IN,39.992,Banque mondiale
1968,SP.DYN.LE00.IN,40.15,Banque mondiale
1969,SP.DYN.LE00.IN,40.398,Banque mondiale
1970,SP.DYN.LE00.IN,40.789,Banque mondiale
1971,SP.DYN.LE00.IN,41.243,Banque mondiale
1972,SP.DYN.LE00.IN,41.77,Banque mondiale
1973,SP.DYN.LE00.IN,42.429,Banque mondiale
1974,SP.DYN.LE00.IN,43.104,Banque mondiale
1975,SP.DYN.LE00.IN,43.938,Banque mondiale
1976,SP.DYN.LE00.IN,44.809,Banque mondiale
1977,SP.DYN.LE00.IN,45.714,Banque mondiale
1978,SP.DYN.LE00.IN,46.596,Banque mondiale
1979,SP.DYN.LE00.IN,47.478,Banque mondiale
1980,SP.DYN.LE00.IN,48.294,Banque mondiale
1981,SP.DYN.LE00.IN,49.083,Banque mondiale
1982,SP.DYN.LE00.IN,49.863,Banque mondiale
1983,SP.DYN.LE00.IN,50.811,Banque mondiale
1984,SP.DYN.LE00.IN,51.694,Banque mondiale
1985,SP.DYN.LE00.IN,52.586,Banque mondiale
1986,SP.DYN.LE00.IN,53.718,Banque mondiale
1987,SP.DYN.LE00.IN,54.632,Banque mondiale
1988,SP.DYN.LE00.IN,55.546,Banque mondiale
1989,SP.DYN.LE00.IN,56.209,Banque mondiale
1990,SP.DYN.LE00.IN,56.674,Banque mondiale
1991,SP.DYN.LE00.IN,57.037,Banque mondiale
1992,SP.DYN.LE00.IN,57.287,Banque mondiale
1993,SP.DYN.LE00.IN,57.348,Banque mondiale
1994,SP.DYN.LE00.IN,57.479,Banque mondiale
1995,SP.DYN.LE00.IN,57.336,Banque mondiale
1996,SP.DYN.LE00.IN,57.129,Banque mondiale
1997,SP.DYN.LE00.IN,57.107,Banque mondiale
1998,SP.DYN.LE00.IN,57.076,Banque mondiale
1999,SP.DYN.LE00.IN,57.315,Banque mondiale
2000,SP.DYN.LE00.IN,57.615,Banque mondiale
2001,SP.DYN.LE00.IN,58.158,Banque mondiale
2002,SP.DYN.LE00.IN,58.912,Banque mondiale
2003,SP.DYN.LE00.IN,59.474,Banque mondiale
2004,SP.DYN.LE00.IN,60.308,Banque mondiale
2005,SP.DYN.LE00.IN,60.98,Banque mondiale
2006,SP.DYN.LE00.IN,61.801,Banque mondiale
2007,SP.DYN.LE00.IN,62.653,Banque mondiale
2008,SP.DYN.LE00.IN,63.201,Banque mondiale
2009,SP.DYN.LE00.IN,63.751,Banque mondiale
2010,SP.DYN.LE00.IN,64.221,Banque mondiale
2011,SP.DYN.LE00.IN,64.799,Banque mondiale
2012,SP.DYN.LE00.IN,65.229,Banque mondiale
2013,SP.DYN.LE00.IN,65.638,Banque mondiale
2014,SP.DYN.LE00.IN,66.001,Banque mondiale
2015,SP.DYN.LE00.IN,66.451,Banque mondiale
2016,SP.DYN.LE00.IN,66.724,Banque mondiale
2017,SP.DYN.LE00.IN,67.059,Banque mondiale
2018,SP.DYN.LE00.IN,67.379,Banque mondiale
2019,SP.DYN.LE00.IN,67.668,Banque mondiale
2020,SP.DYN.LE00.IN,67.496,Banque mondiale
2021,SP.DYN.LE00.IN,66.868,Banque mondiale
2022,SP.DYN.LE00.IN,67.788,Banque mondiale
2023,SP.DYN.LE00.IN,68.683,Banque mondiale
2024,SP.DYN.LE00.IN,68.924,Banque mondiale
1960,SP.POP.0014.TO.ZS,44.1649528107188,Banque mondiale
1961,SP.POP.0014.TO.ZS,44.2555745516715,Banque mondiale
1962,SP.POP.0014.TO.ZS,44.2917922141044,Banque mondiale
1963,SP.POP.0014.TO.ZS,44.3211561228771,Banque mondiale
1964,SP.POP.0014.TO.ZS,44.3473802079943,Banque mondiale
1965,SP.POP.0014.TO.ZS,44.3485329581785,Banque mondiale
1966,SP.POP.0014.TO.ZS,44.3249361362501,Banque mondiale
1967,SP.POP.0014.TO.ZS,44.2888608109465,Banque mondiale
1968,SP.POP.0014.TO.ZS,44.2482538984632,Banque mondiale
1969,SP.POP.0014.TO.ZS,44.2138227603929,Banque mondiale
1970,SP.POP.0014.TO.ZS,44.1931430241065,Banque mondiale
1971,SP.POP.0014.TO.ZS,44.1913211689872,Banque mondiale
1972,SP.POP.0014.TO.ZS,44.2152441022134,Banque mondiale
1973,SP.POP.0014.TO.ZS,44.2693775593348,Banque mondiale
1974,SP.POP.0014.TO.ZS,44.3728095212247,Banque mondiale
1975,SP.POP.0014.TO.ZS,44.5565491673451,Banque mondiale
1976,SP.POP.0014.TO.ZS,44.8280876738123,Banque mondiale
1977,SP.POP.0014.TO.ZS,45.1957138358346,Banque mondiale
